ACS,K,D,A,DDA,HS,KAST,FK,FD,MK,WIN
135,12,17,3,-38,0.24,0.58,2,1,0,0
131,11,14,1,-26,0.35,0.62,0,0,0,0
280,24,13,5,83,0.31,0.74,1,2,2,1
263,22,17,2,28,0.25,0.74,2,1,4,1
217,17,19,8,-6,0.35,0.61,4,2,1,1
156,12,15,5,-23,0.15,0.65,3,2,0,1
142,11,17,7,-51,0.27,0.61,2,4,0,1
260,19,17,2,41,0.15,0.65,5,7,2,0
248,22,17,6,11,0.44,0.70,0,2,3,0
244,18,18,6,27,0.42,0.74,4,2,3,0
130,10,17,7,-52,0.17,0.70,2,0,0,0
121,11,15,5,-57,0.32,0.52,0,0,0,0
308,19,15,3,6,0.34,0.65,3,2,3,0
194,9,15,7,1,0.26,0.53,1,1,1,0
147,7,15,2,-50,0.17,0.65,2,2,0,0
133,7,15,3,-56,0.14,0.59,1,0,0,0
129,9,15,2,-78,0.23,0.53,4,1,0,0
352,22,11,6,81,0.27,0.88,1,2,4,1
263,18,8,5,80,0.20,0.82,1,4,3,1
220,15,10,6,33,0.31,0.88,0,1,2,1
190,12,9,5,16,0.26,0.82,4,2,0,1
181,11,13,3,-34,0.11,0.76,0,0,0,1
255,21,17,10,26,0.45,0.86,3,2,0,1
243,21,18,2,17,0.26,0.77,4,2,1,1
240,18,12,8,37,0.33,0.86,0,0,2,1
204,16,17,2,-15,0.25,0.64,6,0,0,1
280,20,20,6,24,0.15,0.61,1,5,3,1
253,21,18,8,8,0.41,0.74,2,3,1,1
239,20,16,2,-6,0.08,0.74,2,0,1,1
208,17,17,4,13,0.21,0.65,3,4,1,1
125,11,15,9,-24,0.37,0.57,1,2,0,1
340,29,20,2,32,0.26,0.74,5,2,3,0
271,22,21,2,-12,0.23,0.65,6,5,2,0
218,16,16,6,30,0.26,0.74,0,1,0,0
185,14,17,8,-8,0.34,0.74,0,2,3,0
299,23,14,4,56,0.24,0.77,5,0,0,1
266,19,17,8,40,0.21,0.82,4,2,1,1
253,21,15,8,49,0.41,0.82,5,1,2,1
203,15,15,15,4,0.29,0.86,3,0,0,1
148,13,11,2,-13,0.12,0.73,0,2,0,1
286,22,17,4,16,0.25,0.68,1,0,2,0
198,17,16,6,-11,0.20,0.64,0,2,3,0
190,12,21,6,-36,0.22,0.64,4,11,1,0
168,11,22,3,-70,0.10,0.36,0,4,1,0
135,10,15,1,-33,0.08,0.59,0,0,0,0
336,36,22,6,90,0.43,0.66,7,6,5,0
209,23,22,15,11,0.22,0.59,1,1,2,0
172,18,24,6,-39,0.09,0.59,7,6,1,0
158,16,24,12,-32,0.25,0.69,0,3,0,0
124,13,22,2,-35,0.14,0.62,0,1,0,0
362,41,22,3,88,0.21,0.62,9,6,7,1
200,20,22,9,-8,0.25,0.69,2,2,0,1
198,23,20,11,-12,0.10,0.72,0,1,0,1
164,16,25,7,-18,0.29,0.62,4,7,1,1
105,13,17,10,-45,0.05,0.72,1,0,0,1
